snapshot_utc,id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,last_updated
2026-03-02 16:05:22+00:00,dai,dai,Dai,1.001,4194876014,26,67393520.0,1.002,0.998399,0.038814330813463464,0.10480143014873196,0.09260294786773587,2026-03-02 16:04:40.555000+00:00
2026-03-02 16:05:22+00:00,paypal-usd,pyusd,PayPal USD,0.999226,4193708601,27,105207175.0,1.001,0.998426,-0.021369550692120445,-0.06473329979855164,-0.06878372099354237,2026-03-02 16:04:40.520000+00:00
2026-03-02 16:05:22+00:00,avalanche-2,avax,Avalanche,9.32,4025285430,28,366817414.0,9.36,8.86,2.0890063912099155,1.764649619030216,7.802942852046046,2026-03-02 16:04:40.684000+00:00
2026-03-02 16:05:22+00:00,zcash,zec,Zcash,222.88,3699925532,29,252603554.0,225.67,211.68,1.1726363560862398,0.6414882465153444,-8.756547222335094,2026-03-02 16:04:40.638000+00:00
2026-03-02 16:05:22+00:00,sui,sui,Sui,0.944398,3685736896,30,958667204.0,0.953672,0.868224,3.000551686949818,3.2797758169065645,6.476577161997997,2026-03-02 16:04:40.957000+00:00
2026-03-02 16:05:22+00:00,shiba-inu,shib,Shiba Inu,5.71e-06,3365184246,31,156232951.0,5.76e-06,5.45e-06,1.4702493432046384,0.8938615617082759,-7.04158705288727,2026-03-02 16:04:40.799000+00:00
2026-03-02 16:05:22+00:00,crypto-com-chain,cro,Cronos,0.076473,3142611869,32,12528918.0,0.0768,0.073833,1.3954706497346696,0.7348907005262693,2.222517648028698,2026-03-02 16:04:40.955000+00:00
2026-03-02 16:05:22+00:00,the-open-network,ton,Toncoin,1.24,3042103070,33,123293161.0,1.25,1.19,0.38737670033356564,0.5050973093327504,-10.082484345915796,2026-03-02 16:04:42.082000+00:00
2026-03-02 16:05:22+00:00,world-liberty-financial,wlfi,World Liberty Financial,0.109277,3023307719,34,82010147.0,0.110737,0.104485,1.8262413954347738,-1.126161262248709,-3.4165173997114646,2026-03-02 16:04:40.535000+00:00
2026-03-02 16:05:22+00:00,tether-gold,xaut,Tether Gold,5254.66,2980408218,35,1351133394.0,5386.94,5280.57,-0.8851032729035418,-1.5498677332292075,1.5425112038941617,2026-03-02 16:04:40.985000+00:00
2026-03-02 16:05:22+00:00,memecore,m,MemeCore,1.52,2647128635,36,8628439.0,1.54,1.48,-0.21681355582490722,2.046718461650331,6.5276168253063,2026-03-02 16:04:40.470000+00:00
2026-03-02 16:05:22+00:00,polkadot,dot,Polkadot,1.57,2632430936,37,250490913.0,1.59,1.5,2.601869132080154,1.0338671415548413,22.587841234245566,2026-03-02 16:04:40.662000+00:00
2026-03-02 16:05:22+00:00,pax-gold,paxg,PAX Gold,5312.58,2564574186,38,760457545.0,5453.09,5335.5,-0.711926318706515,-1.776805215414037,1.8790856215186569,2026-03-02 16:04:40.771000+00:00
2026-03-02 16:05:22+00:00,uniswap,uni,Uniswap,3.98,2522992410,39,231801295.0,4.01,3.68,2.3874240970010687,4.71872645822716,16.95934211799817,2026-03-02 16:04:40.810000+00:00
2026-03-02 16:05:22+00:00,mantle,mnt,Mantle,0.639074,2078867992,40,29883686.0,0.643226,0.623543,1.000154390160953,-0.41640498966533857,9.045608391727283,2026-03-02 16:04:41.005000+00:00
2026-03-02 16:05:22+00:00,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,1958775991,41,0.0,1.0,1.0,0.0,0.0,0.0,2026-03-02 16:00:12.857000+00:00
2026-03-02 16:05:22+00:00,hashnote-usyc,usyc,Circle USYC,1.12,1945418417,42,111804.0,1.12,1.12,0.0,0.009091583716522349,0.2764311574734972,2026-03-02 16:04:40.451000+00:00
2026-03-02 16:05:22+00:00,aave,aave,Aave,122.86,1869312330,43,547363287.0,123.26,110.83,4.337452827656,6.35907642383635,3.594005270580669,2026-03-02 16:04:41.475000+00:00
2026-03-02 16:05:22+00:00,bittensor,tao,Bittensor,187.95,1803795358,44,103064250.0,188.63,172.81,2.3339057163936654,3.5628279502926423,10.94813699219681,2026-03-02 16:04:40.551000+00:00
2026-03-02 16:05:22+00:00,global-dollar,usdg,Global Dollar,0.999956,1786272328,45,34467516.0,1.0,0.999663,0.01573653909965885,0.005975091882183703,0.017220671413821206,2026-03-02 16:04:40.649000+00:00
2026-03-02 16:05:22+00:00,aster-2,aster,Aster,0.712716,1750942459,46,122731309.0,0.722188,0.691508,0.8913680074148176,-0.7176995731263927,2.508045450401386,2026-03-02 16:04:42.333000+00:00
2026-03-02 16:05:22+00:00,falcon-finance,usdf,Falcon USD,0.99658,1735577294,47,2215111.0,0.997597,0.993682,0.009167117402361256,0.009344974336448838,-0.07657547784333543,2026-03-02 16:04:40.522000+00:00
2026-03-02 16:05:22+00:00,near,near,NEAR Protocol,1.3,1686913945,48,453219381.0,1.32,1.11,0.7721937247383655,12.555367796668786,30.255213339247018,2026-03-02 16:04:40.891000+00:00
2026-03-02 16:05:22+00:00,sky,sky,Sky,0.071266,1640568199,49,10644922.0,0.071169,0.066124,2.972991703504204,4.876865711554418,12.101450067078117,2026-03-02 16:04:40.763000+00:00
2026-03-02 16:05:22+00:00,okb,okb,OKB,77.42,1627815570,50,14894479.0,77.95,74.87,0.8120935004865578,0.7348373157250784,3.5906564433399173,2026-03-02 16:04:40.808000+00:00
